DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71263,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20032,ASTREA,20032005,SANTA CECILIA,EN OPERACI�N,"9,51722000","-73,86139000",2019-12-16,2021-09-15,2021-02-22,2021-12-31,118,"413,96",1,9,"27007800,00"
71432,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25839,UBALA,25839000,BETANIA,EN OPERACI�N,"4,78611000","-73,45667000",2019-12-09,2021-09-08,2021-02-22,2021-12-31,57,"68,92",1,9,"27007800,00"
71487,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41668,SAN AGUSTIN,41668007,PRADERA,EN OPERACI�N,"1,90083000","-76,39167000",2019-12-06,2021-09-05,2021-02-22,2021-12-31,814,"655,43",1,9,"27007800,00"
72240,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52788,TANGUA,52788007,VDA EL CEBADAL,EN OPERACI�N,"1,11222222","-77,38222222",2020-08-09,1900-01-01,2021-02-22,2021-12-31,247,"211,92",1,9,"27007800,00"
72339,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76318,GUACARI,76318011,CANANGUA,EN OPERACI�N,"3,78361111","-76,35416667",2020-08-07,1900-01-01,2021-02-22,2021-12-31,204,"125,90",1,9,"27007800,00"
72212,RED DE INGENIERIA S.A.S.,804012847-1,47,MAGDALENA,47245,EL BANCO,47245008,EL TREBOL,EN OPERACI�N,"9,15000000","-73,91194444",2020-08-19,1900-01-01,2021-02-22,2021-12-31,338,"147,74",1,9,"27007800,00"
71014,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05093,BETULIA,5093000,VEREDA CUCHILLON,EN OPERACI�N,"6,12444000","-75,93639000",2019-12-26,2021-09-25,2021-02-22,2021-12-31,1786,"460,11",1,9,"27007800,00"
72520,EMTEL,891502163-1,94,GUAINIA,94663,MAPIRIPANA,94663000,MAPIRIPANA,EN OPERACI�N,"2,81193300","-70,47572000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71234,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19517,PAEZ,19517000,VEREDA CHICAQUIU,EN OPERACI�N,"2,79166000","-76,06166000",2020-04-06,1900-01-01,2021-02-22,2021-12-31,316,"231,93",1,9,"27007800,00"
71506,RED DE INGENIERIA S.A.S.,804012847-1,47,MAGDALENA,47170,CHIBOLO,47170001,LA CHINA,EN OPERACI�N,"9,95389000","-74,55750000",2019-12-11,2021-09-10,2021-02-22,2021-12-31,627,"195,78",1,9,"27007800,00"
72533,EMTEL,891502163-1,95,GUAVIARE,95200,MIRAFLORES,95200004,BUENOS AIRES,EN OPERACI�N,"1,43716000","-71,88983000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
